,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
229,Kyle Korver,50,16.7,6.7,2.2,5.2,42.9,1.7,4.1,41.5,0.6,0.7,82.4,0.3,1.8,2.1,1.2,0.4,0.2,0.8,6.8
230,Jakob Poeltl,58,16.6,5.3,2.3,3.8,61.9,0.0,0.0,0.0,0.6,1.3,48.6,1.8,3.6,5.3,1.8,0.5,1.4,0.8,11.5
231,Taj Gibson,62,16.5,6.1,2.7,4.6,58.4,0.1,0.2,28.6,0.7,0.9,73.2,1.8,2.5,4.3,0.8,0.4,0.5,0.8,9.3
232,Mario Hezonja,47,16.3,4.8,1.7,4.0,42.9,0.4,1.4,32.8,0.9,1.1,82.4,0.6,2.9,3.4,0.9,0.6,0.2,0.8,6.6
233,Damian Jones,55,16.1,5.6,2.2,3.2,68.0,0.0,0.2,22.2,1.1,1.5,73.8,1.3,2.4,3.7,0.6,0.5,0.7,0.5,9.2
234,Justin Jackson,58,16.0,5.7,2.1,5.4,39.9,0.8,2.6,29.8,0.6,0.8,81.8,0.5,2.0,2.4,0.8,0.2,0.2,0.2,5.8
235,Ersan Ilyasova,56,16.0,6.8,2.4,5.2,47.2,0.8,2.2,37.1,1.1,1.3,82.7,1.1,3.9,4.9,0.8,0.4,0.3,0.6,9.7
236,Ryan Arcidiacono,58,16.0,4.5,1.6,3.8,40.9,0.9,2.4,39.1,0.5,0.7,71.1,0.3,1.6,1.9,1.7,0.5,0.1,0.6,5.5
237,Abdel Nader,48,15.8,6.0,2.1,4.6,45.5,0.8,2.2,37.1,1.0,1.3,77.4,0.3,1.6,1.9,0.7,0.4,0.4,0.8,5.9
238,Emmanuel Mudiay,48,15.7,7.3,2.8,6.0,47.1,0.6,1.6,35.5,1.1,1.4,75.4,0.4,2.0,2.4,2.2,0.4,0.2,1.4,7.6
239,Anthony Tolliver,47,15.6,3.5,1.1,3.3,34.8,0.8,2.6,32.2,0.4,0.5,72.0,0.6,2.2,2.8,0.7,0.3,0.2,0.6,4.7
240,Grant Williams,62,15.6,3.5,1.3,3.1,41.7,0.3,1.4,24.7,0.6,0.8,72.5,0.9,1.7,2.7,1.0,0.5,0.5,0.7,5.4
241,Jevon Carter,50,15.1,4.6,1.6,4.1,40.0,0.9,2.3,39.3,0.4,0.5,84.0,0.5,1.5,2.0,1.3,0.8,0.3,0.6,5.7
242,Marco Belinelli,52,15.0,5.8,2.0,5.2,39.1,1.1,3.0,36.8,0.6,0.8,78.0,0.1,1.7,1.7,1.2,0.2,0.0,0.3,5.3
243,Rodney McGruder,50,15.0,3.2,1.2,3.1,39.1,0.4,1.6,27.8,0.3,0.6,53.6,0.5,2.0,2.6,0.6,0.5,0.2,0.4,4.4
244,Semi Ojeleye,61,14.6,3.1,1.1,2.6,40.9,0.6,1.6,36.7,0.4,0.5,89.3,0.4,1.6,2.0,0.5,0.3,0.1,0.2,4.3
245,Vince Carter,60,14.6,5.0,1.8,5.1,35.2,1.0,3.4,30.2,0.4,0.5,79.3,0.3,1.8,2.1,0.8,0.4,0.4,0.6,4.7
246,Mo Bamba,60,14.5,5.5,2.2,4.7,46.8,0.6,1.7,35.6,0.5,0.8,67.4,1.6,3.4,5.0,0.7,0.4,1.4,0.7,9.6
247,Lonnie Walker IV,53,14.5,5.6,2.2,5.0,43.4,0.5,1.3,40.8,0.7,1.0,71.7,0.4,1.8,2.2,0.9,0.5,0.2,0.6,5.7
248,Robin Lopez,60,14.4,5.5,2.3,4.6,50.2,0.6,1.6,34.4,0.4,0.7,53.5,0.9,1.6,2.4,0.7,0.2,0.7,0.9,6.0
249,Matthew Dellavedova,57,14.4,3.1,1.1,3.1,35.4,0.4,1.6,23.1,0.6,0.6,86.5,0.3,1.0,1.3,3.2,0.4,0.0,1.0,4.9
250,Michael Porter Jr.,48,14.0,7.5,2.9,5.9,49.5,0.9,2.1,42.2,0.7,0.9,76.7,1.1,3.0,4.1,0.7,0.4,0.4,0.7,9.2
251,Jerome Robinson,55,13.6,3.7,1.4,3.9,34.7,0.6,1.9,29.8,0.4,0.5,69.0,0.2,1.8,1.9,1.2,0.4,0.3,0.6,4.1
252,Georges Niang,58,13.3,5.8,2.1,4.6,45.3,1.3,3.2,41.6,0.3,0.4,86.4,0.2,1.7,1.9,0.6,0.2,0.1,0.4,5.6
253,Chris Boucher,55,13.2,6.3,2.2,4.7,45.8,0.5,1.8,28.3,1.5,1.9,79.6,1.7,2.7,4.4,0.4,0.4,1.0,0.4,9.1
254,Elie Okobo,54,13.1,4.0,1.3,3.4,39.8,0.5,1.3,35.2,0.9,1.2,68.7,0.3,1.3,1.6,2.1,0.4,0.1,0.7,5.1
255,Thon Maker,60,12.9,4.7,1.6,3.2,48.2,0.4,1.1,34.4,1.2,1.8,66.4,0.9,1.9,2.8,0.7,0.4,0.7,0.8,6.2
256,Frank Jackson,51,12.9,5.6,1.9,5.0,38.5,0.8,2.4,32.5,0.9,1.3,75.0,0.4,1.0,1.4,0.8,0.3,0.1,0.8,3.9
257,Bruno Fernando,56,12.7,4.3,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.3,0.3,0.8,6.5
258,Patrick Patterson,51,11.9,4.6,1.5,3.7,40.4,1.1,2.8,38.7,0.5,0.7,79.4,0.6,1.8,2.4,0.6,0.1,0.1,0.4,5.1
259,Nassir Little,48,11.9,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,4.4
